data,produto,preco,cidade_estado,bairro,loja
2025-04-20,Filé de Tilápia Empanado Congelado Multigrãos Copacol 400g,38.49, Taguatinga - DF,Aguas Claras,Hipermercado Brasilia Taguatinga
2025-04-20,Filé de Tilápia Empanado Congelado Coco Copacol 400g,40.49, Taguatinga - DF,Aguas Claras,Hipermercado Brasilia Taguatinga
2025-04-20,Filé de Tilápia in Natura Congelado 400g,39.65, Taguatinga - DF,Aguas Claras,Hipermercado Brasilia Taguatinga
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,38.24, Vila Velha - ES,Divino Espirito Santo,Hipermercado Vila Velha Shopping
2025-04-20,Filé de Tilápia Congelado Copacol 800g,51.49, Anapolis - GO,Cidade Jardim,Hipermercado Goiânia Anápolis
2025-04-20,Posta de Tilápia Copacol 800g,29.99, Anapolis - GO,Cidade Jardim,Hipermercado Goiânia Anápolis
2025-04-20,Filé de Tilápia in Natura Congelado 400g,37.49, Anapolis - GO,Cidade Jardim,Hipermercado Goiânia Anápolis
2025-04-20,Filé de Tilápia Congelado Swift 800 g,41.9, Goiania - GO,Jd Goias,Hipermercado Goiânia Sul
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,53.0, Goiania - GO,Jd Goias,Hipermercado Goiânia Sul
2025-04-20,Filé de Tilápia Congelado Copacol 800g,50.99, Goiania - GO,Jd Goias,Hipermercado Goiânia Sul
2025-04-20,Filé de Tilápia Empanado Congelado Copacol 400g,41.95, Goiania - GO,Jd Goias,Hipermercado Goiânia Sul
2025-04-20,Filé de Tilápia Empanado Congelado Multigrãos Copacol 400g,43.09, Goiania - GO,Jd Goias,Hipermercado Goiânia Sul
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,31.52, Goiania - GO,Jd Goias,Hipermercado Goiânia Sul
2025-04-20,Filé de Tilápia in Natura Congelado 400g,38.65, Goiania - GO,Jd Goias,Hipermercado Goiânia Sul
2025-04-20,Tilápia Moída Congelada Netuno 500g,15.39, Belo Horizonte - MG,Belvedere,Hipermercado BH Shopping
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,24.69, Belo Horizonte - MG,Belvedere,Hipermercado BH Shopping
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,67.49, Belo Horizonte - MG,Belvedere,Hipermercado BH Shopping
2025-04-20,Filé de Tilápia Resfriada Carrefour Aprox. 900g,69.29, Belo Horizonte - MG,Belvedere,Hipermercado BH Shopping
2025-04-20,Tilápia Moída Congelada Netuno 500g,15.39, Contagem - MG,Riacho,Hipermercado Contagem
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,25.45, Contagem - MG,Riacho,Hipermercado Contagem
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,67.49, Contagem - MG,Riacho,Hipermercado Contagem
2025-04-20,Filé de Tilápia Resfriada Carrefour Aprox. 400g,27.55, Contagem - MG,Riacho,Hipermercado Contagem
2025-04-20,Posta de Tilápia Copacol 800g,38.49, Contagem - MG,Riacho,Hipermercado Contagem
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,35.19, Contagem - MG,Riacho,Hipermercado Contagem
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,24.69, Juiz de Fora - MG,Graminha,Hipermercado Juiz de Fora
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,81.49, Juiz de Fora - MG,Graminha,Hipermercado Juiz de Fora
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,24.69, Uberlandia - MG,Sta Monica,Hipermercado Uberlândia
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,69.49, Uberlandia - MG,Sta Monica,Hipermercado Uberlândia
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,22.45, Campo Grande - MS,Santa Fe,Hipermercado Campo Grande
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,65.99, Campo Grande - MS,Santa Fe,Hipermercado Campo Grande
2025-04-20,Filé de Tilápia Empanado Congelado Multigrãos Copacol 400g,31.95, Campo Grande - MS,Santa Fe,Hipermercado Campo Grande
2025-04-20,Iscas de Filé de Tilápia Congelado Copacol 300g,27.85, Campo Grande - MS,Santa Fe,Hipermercado Campo Grande
2025-04-20,Tilápia Moída Congelada Netuno 500g,19.59, Campina Grande - PB,S José,Hiper Campina Grande
2025-04-20,Filé de Tilápia Congelado Netuno 500 g,39.79, Campina Grande - PB,S José,Hiper Campina Grande
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.29, João Pessoa - PB,Jardim Sao Paulo,Hipermercado JP Cidade dos Bancários
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,64.79, João Pessoa - PB,Jardim Sao Paulo,Hipermercado JP Cidade dos Bancários
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,42.25, João Pessoa - PB,Jardim Sao Paulo,Hipermercado JP Cidade dos Bancários
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,32.77, João Pessoa - PB,Jardim Sao Paulo,Hipermercado JP Cidade dos Bancários
2025-04-20,Tilápia Moída Congelada Netuno 500g,18.89, Jaboatão dos Guararapes - PE,Piedade,Hiper Jaboatão
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,27.59, Jaboatão dos Guararapes - PE,Piedade,Hiper Jaboatão
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,30.39, Jaboatão dos Guararapes - PE,Piedade,Hiper Jaboatão
2025-04-20,Filé de Tilápia Netuno 500g,35.89, Jaboatão dos Guararapes - PE,Piedade,Hiper Jaboatão
2025-04-20,Tilápia Moída Congelada Netuno 500g,18.89, Petrolina - PE,Centro,Hiper Shopping Petrolina
2025-04-20,Tilápia Moída Congelada Netuno 500g,18.89, Recife - PE,Boa Viagem,Hipermercado Domingos Ferreira
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,30.39, Recife - PE,Boa Viagem,Hipermercado Domingos Ferreira
2025-04-20,Filé de Tilápia Netuno 500g,35.89, Recife - PE,Boa Viagem,Hipermercado Domingos Ferreira
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,28.59, Curitiba - PR,Mossunguê,Hipermercado Champagnat
2025-04-20,Filé de Tilápia Congelado Copacol 800g,55.89, Curitiba - PR,Mossunguê,Hipermercado Champagnat
2025-04-20,Posta de Tilápia Copacol 800g,28.99, Curitiba - PR,Mossunguê,Hipermercado Champagnat
2025-04-20,Filé de Tilápia Empanado Congelado Multigrãos Copacol 400g,38.39, Curitiba - PR,Mossunguê,Hipermercado Champagnat
2025-04-20,Iscas de Filé de Tilápia Congelado Copacol 300g,29.89, Curitiba - PR,Mossunguê,Hipermercado Champagnat
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,34.45, Curitiba - PR,Mossunguê,Hipermercado Champagnat
2025-04-20,Filé de Tilápia in Natura Congelado 400g,39.99, Curitiba - PR,Mossunguê,Hipermercado Champagnat
2025-04-20,Petiscos de Tilápia Congelados Copacol 600g,24.99, Curitiba - PR,Mossunguê,Hipermercado Champagnat
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,29.45, Londrina - PR,Catuai,Hipermercado Londrina
2025-04-20,Filé de Tilápia Congelado Copacol 800g,57.05, Londrina - PR,Catuai,Hipermercado Londrina
2025-04-20,Filé de Tilápia Empanado Congelado Copacol 400g,43.79, Londrina - PR,Catuai,Hipermercado Londrina
2025-04-20,Posta de Tilápia Copacol 800g,29.89, Londrina - PR,Catuai,Hipermercado Londrina
2025-04-20,Filé de Tilápia Empanado Congelado Multigrãos Copacol 400g,29.99, Londrina - PR,Catuai,Hipermercado Londrina
2025-04-20,Iscas de Filé de Tilápia Congelado Copacol 300g,29.89, Londrina - PR,Catuai,Hipermercado Londrina
2025-04-20,Filé de Tilápia in Natura Congelado 400g,28.99, Londrina - PR,Catuai,Hipermercado Londrina
2025-04-20,Petiscos de Tilápia Congelados Copacol 600g,24.99, Londrina - PR,Catuai,Hipermercado Londrina
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,28.59, Pinhais - PR,Vila Maria Antonieta,Hipermercado Pinhais
2025-04-20,Filé de Tilápia Resfriada Carrefour Aprox. 900g,64.71, Pinhais - PR,Vila Maria Antonieta,Hipermercado Pinhais
2025-04-20,Filé de Tilápia Congelado Copacol 800g,55.89, Pinhais - PR,Vila Maria Antonieta,Hipermercado Pinhais
2025-04-20,Filé de Tilápia Empanado Congelado Copacol 400g,29.99, Pinhais - PR,Vila Maria Antonieta,Hipermercado Pinhais
2025-04-20,Posta de Tilápia Copacol 800g,29.89, Pinhais - PR,Vila Maria Antonieta,Hipermercado Pinhais
2025-04-20,Filé de Tilápia Empanado Congelado Multigrãos Copacol 400g,40.19, Pinhais - PR,Vila Maria Antonieta,Hipermercado Pinhais
2025-04-20,Filé de Tilápia Empanado Congelado Coco Copacol 400g,36.89, Pinhais - PR,Vila Maria Antonieta,Hipermercado Pinhais
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,35.49, Pinhais - PR,Vila Maria Antonieta,Hipermercado Pinhais
2025-04-20,Filé de Tilápia in Natura Congelado 400g,39.69, Pinhais - PR,Vila Maria Antonieta,Hipermercado Pinhais
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,32.82, Duque de Caxias - RJ,Jardim Vinte e Cinco de Agosto,Hipermercado Duque de Caxias Brigadeiro
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,32.49, Rio de Janeiro - RJ,Barra da Tijuca,Hipermercado Barra
2025-04-20,Filé De Tilápia Frescatto 400g,35.99, Rio de Janeiro - RJ,Barra da Tijuca,Hipermercado Barra
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,33.14, São Gonçalo - RJ,Alcantara,Hipermercado Alcântara
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,33.47, Campos dos Goytacazes - RJ,Queimados,Hiper Campos de Goytacazes
2025-04-20,Tilápia Moída Congelada Netuno 500g,22.19, Mossoró - RN,Doze Anos,BIG Mossoró
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,31.79, Mossoró - RN,Doze Anos,BIG Mossoró
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,65.39, Mossoró - RN,Doze Anos,BIG Mossoró
2025-04-20,Filé de Tilápia Congelado Netuno 500 g,38.79, Mossoró - RN,Doze Anos,BIG Mossoró
2025-04-20,Posta de Tilápia Congelada Pescados da Cruz 1 kg,24.89, Natal - RN,Lagoa Nova,Hipermercado Natal
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.69, Canoas - RS,Mathias Velho 07,Hipermercado Canoas
2025-04-20,Tilápia Moída Congelada Netuno 500g,9.99, Caxias do Sul - RS,Cidade Nova,Hipermercado Caxias
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,32.94, Caxias do Sul - RS,Cidade Nova,Hipermercado Caxias
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,22.99, Gravataí - RS,Cohab C - Centro,Hipermercado Gravataí
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,22.99, Novo Hamburgo - RS,Centro,Carrefour Novo Hamburgo
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,28.17, Pelotas - RS,Areal,BIG Pelotas
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.45, Porto Alegre - RS,Partenon,Hipermercado Partenon
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,32.94, Porto Alegre - RS,Partenon,Hipermercado Partenon
