produto,preco,loja,cidade_estado,data
Kani Congelado Frescatto 200g,"R$ 9,98",Carrefour Bairro Itu,"Liberdade, Itu - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 10,19",Hipermercado Jundiai,"Vila Vioto, Jundiai - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 10,19",Hipermercado Osasco,"Vila Yara, Osasco - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 10,09",Hipermercado Piracicaba,"Terras de Piracicaba, Piracicaba - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 10,49",Carrefour Bairro Central Praia Grande,"Vila Guilhermina, Praia Grande - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 9,89",Hipermercado Presidente Prudente,"Jd Das Rosas, Presidente Prudente - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 10,19",Hipermercado Ribeirão Preto Norte,"Ipiranga, Ribeirão Preto - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 14,79",Carrefour Bairro Salto,"Vila Nova, Salto - SP",2025-04-18
Kani Congelado Frescatto 200g,"R$ 9,98",Carrefour Bairro Salto,"Vila Nova, Salto - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 14,79",Carrefour Bairro Alphaville,"Alphaville, Santana de Parnaíba - SP",2025-04-18
Kani Congelado Damm 250g,"R$ 11,19",Carrefour Bairro Alphaville,"Alphaville, Santana de Parnaíba - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 9,89",Hipermercado São Bernado do Campo,"Centro, São Bernardo do Campo - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 10,19",Hipermercado São Caetano do Sul,"Fundação, São Caetano do Sul - SP",2025-04-19
Kani Congelado Frescatto 200g,"R$ 10,29",Hipermercado São Caetano do Sul,"Fundação, São Caetano do Sul - SP",2025-04-19
Kani Congelado Costa Sul 200g,"R$ 14,79",Carrefour Bairro São Carlos - Sta Felícia,"Santa Felicia, São Carlos - SP",2025-04-19
Kani Congelado Costa Sul 200g,"R$ 10,19",Hipermercado São José Dos Campos,"Serimbura, São José dos Campos - SP",2025-04-19
Hossomaki Philadelphia Kani Kama 160 g,"R$ 27,49",Hipermercado São José Dos Campos,"Serimbura, São José dos Campos - SP",2025-04-19
Kani Congelado Costa Sul 200g,"R$ 9,89",Hipermercado Rio Preto Shopping,"Jd Fernandes, São Jose Rio Preto - SP",2025-04-19
Kani Congelado Frescatto 200g,"R$ 9,98",Hipermercado Rio Preto Shopping,"Jd Fernandes, São Jose Rio Preto - SP",2025-04-19
Kani Congelado Costa Sul 200g,"R$ 14,79",Carrefour Bairro Morumbi,"Jardim Londrina, São Paulo - SP",2025-04-19
Kani Congelado Costa Sul 200g,"R$ 9,89",Hipermercado São Vicente,"Jd Independencia, São Vicente - SP",2025-04-19
Kani Congelado Costa Sul 200g,"R$ 10,19",Hipermercado Sorocaba Norte,"Vila Carvalho, Sorocaba/Votorantim - SP",2025-04-19
Kani Congelado Costa Sul 200g,"R$ 10,19",Hipermercado Taboão,"Centro, Taboão da Serra - SP",2025-04-19
Kani Congelado Costa Sul 200g,"R$ 10,49",Carrefour Bairro Taubaté II,"Centro, Taubate - SP",2025-04-19
Kani Congelado Costa Sul 200g,"R$ 14,79",Carrefour Bairro Vinhedo,"Vista Alegre, Vinhedo - SP",2025-04-19
Kani Congelado Frescatto 200g,"R$ 9,98",Carrefour Bairro Vinhedo,"Vista Alegre, Vinhedo - SP",2025-04-19
